Loading configuration : configs/config-2.3.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 2215 node 1 SENDING: ACK<30, 30, 2184>
log:    FT20-Server time 2219 node 1 GOT: DATA<31, 2185, len: 1000>
log:    FT20-Server time 2219 node 1 SENDING: ACK<31, 31, 2185>
log: FT20-ClienteSR time 2223 node 0 GOT: ACK<27, 27, 2179>
log: FT20-ClienteSR time 2223 node 0 SENDING: DATA<37, 2223, len: 1000>
log:    FT20-Server time 2223 node 1 GOT: DATA<32, 2186, len: 1000>
log:    FT20-Server time 2223 node 1 SENDING: ACK<32, 32, 2186>
log: FT20-ClienteSR time 2227 node 0 GOT: ACK<28, 28, 2180>
log: FT20-ClienteSR time 2227 node 0 SENDING: DATA<38, 2227, len: 1000>
log:    FT20-Server time 2227 node 1 GOT: DATA<33, 2187, len: 1000>
log:    FT20-Server time 2227 node 1 SENDING: ACK<33, 33, 2187>
log:    FT20-Server time 2231 node 1 GOT: DATA<34, 2188, len: 1000>
log:    FT20-Server time 2231 node 1 SENDING: ACK<34, 34, 2188>
log: FT20-ClienteSR time 2235 node 0 GOT: ACK<30, 30, 2184>
log: FT20-ClienteSR time 2235 node 0 SENDING: DATA<39, 2235, len: 1000>
log:    FT20-Server time 2235 node 1 GOT: DATA<35, 2189, len: 1000>
log:    FT20-Server time 2235 node 1 SENDING: ACK<35, 35, 2189>
log: FT20-ClienteSR time 2236 node 0 SENDING: DATA<40, 2236, len: 1000>
log: FT20-ClienteSR time 2239 node 0 GOT: ACK<31, 31, 2185>
log: FT20-ClienteSR time 2239 node 0 SENDING: DATA<41, 2239, len: 1000>
log: FT20-ClienteSR time 2243 node 0 GOT: ACK<32, 32, 2186>
