Loading configuration : configs/config-2.2.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientGBN
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteGBN time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 1128 node 1 SENDING: ACK<16, 7, 1104>
log:    FT20-Server time 1132 node 1 GOT: DATA<9, 1105, len: 1000>
log:    FT20-Server time 1132 node 1 SENDING: ACK<16, -1, 1105>
log:    FT20-Server time 1136 node 1 GOT: DATA<10, 1106, len: 1000>
log:    FT20-Server time 1136 node 1 SENDING: ACK<16, -1, 1106>
log:    FT20-Server time 1140 node 1 GOT: DATA<12, 1108, len: 1000>
log:    FT20-Server time 1140 node 1 SENDING: ACK<16, -1, 1108>
log:    FT20-Server time 1144 node 1 GOT: DATA<14, 1110, len: 1000>
log:    FT20-Server time 1144 node 1 SENDING: ACK<16, -1, 1110>
log: FT20-ClienteGBN time 1148 node 0 GOT: ACK<16, 7, 1104>
log: FT20-ClienteGBN time 1148 node 0 SENDING: DATA<17, 1148, len: 1000>
log:    FT20-Server time 1148 node 1 GOT: DATA<15, 1111, len: 1000>
log:    FT20-Server time 1148 node 1 SENDING: ACK<16, -1, 1111>
log: FT20-ClienteGBN time 1149 node 0 SENDING: DATA<18, 1149, len: 1000>
log: FT20-ClienteGBN time 1150 node 0 SENDING: DATA<19, 1150, len: 1000>
log: FT20-ClienteGBN time 1151 node 0 SENDING: DATA<20, 1151, len: 1000>
log: FT20-ClienteGBN time 1152 node 0 GOT: ACK<16, -1, 1105>
log: FT20-ClienteGBN time 1152 node 0 SENDING: DATA<21, 1152, len: 1000>
log:    FT20-Server time 1152 node 1 GOT: DATA<16, 1112, len: 1000>
log:    FT20-Server time 1152 node 1 SENDING: ACK<16, -1, 1112>
log: FT20-ClienteGBN time 1153 node 0 SENDING: DATA<22, 1153, len: 1000>
log: FT20-ClienteGBN time 1154 node 0 SENDING: DATA<23, 1154, len: 1000>
log: FT20-ClienteGBN time 1155 node 0 SENDING: DATA<24, 1155, len: 1000>
log: FT20-ClienteGBN time 1156 node 0 GOT: ACK<16, -1, 1106>
log: FT20-ClienteGBN time 1156 node 0 SENDING: DATA<25, 1156, len: 1000>
log: FT20-ClienteGBN time 1157 node 0 SENDING: DATA<26, 1157, len: 1000>
log: FT20-ClienteGBN time 1160 node 0 GOT: ACK<16, -1, 1108>
log: FT20-ClienteGBN time 1164 node 0 GOT: ACK<16, -1, 1110>
log: FT20-ClienteGBN time 1168 node 0 GOT: ACK<16, -1, 1111>
log: FT20-ClienteGBN time 1172 node 0 GOT: ACK<16, -1, 1112>
log:    FT20-Server time 1172 node 1 GOT: DATA<17, 1148, len: 1000>
log:    FT20-Server time 1172 node 1 SENDING: ACK<17, 17, 1148>
log:    FT20-Server time 1176 node 1 GOT: DATA<20, 1151, len: 1000>
log:    FT20-Server time 1176 node 1 SENDING: ACK<17, 20, 1151>
log:    FT20-Server time 1180 node 1 GOT: DATA<21, 1152, len: 1000>
log:    FT20-Server time 1180 node 1 SENDING: ACK<17, 21, 1152>
log:    FT20-Server time 1184 node 1 GOT: DATA<22, 1153, len: 1000>
log:    FT20-Server time 1184 node 1 SENDING: ACK<17, 22, 1153>
log:    FT20-Server time 1188 node 1 GOT: DATA<23, 1154, len: 1000>
log:    FT20-Server time 1188 node 1 SENDING: ACK<17, 23, 1154>
log: FT20-ClienteGBN time 1192 node 0 GOT: ACK<17, 17, 1148>
log: FT20-ClienteGBN time 1192 node 0 SENDING: DATA<27, 1192, len: 1000>
log:    FT20-Server time 1192 node 1 GOT: DATA<24, 1155, len: 1000>
log:    FT20-Server time 1192 node 1 SENDING: ACK<17, 24, 1155>
log: FT20-ClienteGBN time 1196 node 0 GOT: ACK<17, 20, 1151>
log:    FT20-Server time 1196 node 1 GOT: DATA<25, 1156, len: 1000>
log:    FT20-Server time 1196 node 1 SENDING: ACK<17, 25, 1156>
log: FT20-ClienteGBN time 1200 node 0 GOT: ACK<17, 21, 1152>
log:    FT20-Server time 1200 node 1 GOT: DATA<26, 1157, len: 1000>
log:    FT20-Server time 1200 node 1 SENDING: ACK<17, 26, 1157>
log: FT20-ClienteGBN time 1204 node 0 GOT: ACK<17, 22, 1153>
log: FT20-ClienteGBN time 1208 node 0 GOT: ACK<17, 23, 1154>
log: FT20-ClienteGBN time 1212 node 0 GOT: ACK<17, 24, 1155>
log: FT20-ClienteGBN time 1216 node 0 GOT: ACK<17, 25, 1156>
log:    FT20-Server time 1216 node 1 GOT: DATA<27, 1192, len: 1000>
log:    FT20-Server time 1216 node 1 SENDING: ACK<17, 27, 1192>
log: FT20-ClienteGBN time 1220 node 0 GOT: ACK<17, 26, 1157>
log: FT20-ClienteGBN time 1236 node 0 GOT: ACK<17, 27, 1192>
log: FT20-ClienteGBN time 2192 node 0 TIMEOUT...
log: FT20-ClienteGBN time 2192 node 0 SENDING: DATA<18, 2192, len: 1000>
